"Product","Online title","Online description","Cost","Price","Strain"
LILY- Essential Extracts | Live Rosin Disposable | Triple OG EE | .5g,Essential Extracts | Live Rosin Disposable | Triple OG EE | .5g,,36,72,Triple OG
LILY- LILY | Live Rosin Disposable | Washington Apple | .5g,Lily Extracts | Live Rosin Disposable | Washington Apple | .5g,,32.4,72,Washington Apple
LILY- Bubble Hash | Bubba Kush | 1g,Lily Extracts | Bubble Hash | Bubba Kush | 1g,,38.25,85,Bubba Kush
LILY- Bubble Hash | Trainwreck | 1g,Lily Extracts | Bubble Hash | Trainwreck | 1g,,45,100,Trainwreck
LILY- LILY | Live Rosin Disposable | Cowboy Cookies | .5g,Lily Extracts | Live Rosin Disposable | Cowboy Cookies | .5g,,28.5,60,Cowboy Cookies
LILY- LILY | Live Rosin Disposable | Gastro Pop | .5g,Lily Extracts | Live Rosin Disposable | Gastro Pop | .5g,,28.5,60,Gastro Pop
LILY- LILY | Live Rosin Disposable | Powdered Donuts | .5g,Lily Extracts | Live Rosin Disposable | Powdered Donuts | .5g,,28.5,60,Powdered Donuts
LILY- LILY | Live Rosin Disposable | Golden Pineapple | .5g,Lily Extracts | Live Rosin Disposable | Golden Pineapple | .5g,,28.5,60,Golden Pineapple
LILY - Airo | Distillate Pod | Black Mamba | 1g,Airo | Artisan Series Distillate Pod | Black Mamba | 1g,,24,60,Black Mamba
LILY - Airo | Distillate Pod | Blackberry Cobbler | 1g,Airo | Strain Series Distillate Pod | Blackberry Cobbler | 1g,,24,60,Blackberry Cobbler
LILY - Airo | Distillate Pod | Cherry AK | 1g,Airo | Distillate Pod | Cherry AK | 1g,,22.125,60,Cherry AK
LILY - Airo | Distillate Pod | Mystical Melody | 1g,Airo | Distillate Pod | Mystical Melody | 1g,,24,60,Mystical Melody
LILY - Airo | Ice Series Distillate Pod | Tropical Chill | 1g,Airo | Ice Series Distillate Pod | Tropical Chill | 1g,,23.6,60,Tropical Chill
LILY - Airo | Distillate Disposable | Black Mamba | 2g,Airo | Distillate Disposable | Black Mamba | 2g,,38,95,Black Mamba
LILY- Airo | Liquid Diamonds Disposable | Blue Dream | 2g,Airo | Liquid Diamond Disposable | Blue Dream | 2g,,44,110,Blue Dream
LILY- Airo | Liquid Diamonds Disposable | Gorilla Glue #4 | 2g,Airo | Liquid Diamond Disposable | Gorilla Glue #4 | 2g,,44,110,Gorilla Glue #4
LILY- Airo | Liquid Diamonds Pod | Sour Patch | 1g,Airo | Liquid Diamonds Pod | Sour Patch | 1g,,28,70,Sour Patch
LILY - Oria | Soft Lozenge | Black Mamba | 100mg,Oria | Soft Lozenge | Black Mamba | 100mg,,6.25,25,Multi Harvest
LILY - Oria | Soft Lozenge | Zen and Zest | 100mg THC - 50mg CBC,Oria | Soft Lozenge | Zen and Zest | 100mg THC - 50mg CBC,,6.25,25,Multi Harvest
LILY - Oria | Soft Lozenge | Hot Tropic | 100mg,Oria | Soft Lozenge | Hot Tropic | 100mg,,6.25,25,Multi Harvest
LILY - Black Banana Chem | Live Rosin Cold Cure | 1g,Lily Extracts | Black Banana Chem | Live Rosin Cold Cure | 1g,,45,100,Black Banana Chem
LILY - Live Rosin Cold Cure | Grapefruit Kush | 1g,Lily Extracts | Live Rosin Cold Cure | Grapefruit Kush | 1g,,45,100,Grapefruit Kush
LILY- Airo | Liquid Diamonds Pod | LEMON Z X RED VELVET | .5g (TEAM),,Airo Liquid Diamonds Disposable Bolo Runtz offers candy-like sweetness and powerful effects in a discreet disposable. Find it now at Hashery.,0.01,0.01,Multi Harvest
LILY- Airo | Liquid Diamonds Pod | Zelato | .5g (TEAM),,,0.01,0.01,Multi Harvest
LILY - Airo | Ice Series Distillate Disposable | Tropical Chill | 2g,Airo | Ice Series Distillate Disposable | Tropical Chill | 2g,,38,95,Tropical Chill
LILY - Airo | Distillate Pod | Blue Dream | 1g,Airo | Strain Series Distillate Pod | Blue Dream | 1g,,23.6,60,Blue Dream
LILY- Bubble Hash | G13 Haze | 1g,Lily Extracts | Bubble Hash | G13 Haze | 1g,,45,100,G13 Haze
LILY - Cold Cure Live Rosin | Stardawg | 1g,Lily Extracts | Cold Cure Live Rosin | Stardawg | 1g,,45,100,LA Stardawg
LILY - Airo | Distillate Disposable | Blackberry Cobbler | 1g,Airo | Distillate Disposable | Blackberry Cobbler | 1g,,22.75,65,Blackberry Cobbler
LILY - Airo | Distillate Disposable | Tropical Daydream | 1g,Airo | Distillate Disposable | Tropical Daydream | 1g,,24.375,65,Tropical Daydream
LILY- Airo | Liquid Diamonds Disposable | Animal Mintz | .5g (TEAM),,Airo Liquid Diamonds Disposable Bolo Runtz offers candy-like sweetness and powerful effects in a discreet disposable. Find it now at Hashery.,0.01,0.01,Animal Mintz
LILY- Airo | Liquid Diamonds Disposable | Bolo Runtz | .5g (TEAM),,Airo Liquid Diamonds Disposable Bolo Runtz offers candy-like sweetness and powerful effects in a discreet disposable. Find it now at Hashery.,0.01,0.01,Bolo Runtz
LILY - Airo | Distillate Disposable | Purple Afghani | 1g,Airo | Distillate Disposable | Purple Afghani | 1g,,22.75,65,Purple Afghani
LILY - Oria | Soft Lozenge | Bahama Breeze | 100mg (TEAM),,,0.01,0.01,Multi Harvest
LILY - Oria | Soft Lozenge | Berry Bliss | 100mg (TEAM),,,0.01,0.01,Multi Harvest
LILY - Airo | Distillate Disposable | Midnight Moon | 1g (Copy),Airo | Distillate Disposable | Midnight Moon | 1g,,26,65,Midnight Moon
